acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.23,-0.63,9.94,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.22,-0.64,9.92,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.24,-0.64,9.94,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.2,-0.65,9.87,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.2,-0.65,9.87,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.25,-0.65,9.95,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.65,9.93,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.65,9.93,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.22,-0.64,9.93,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.65,9.89,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.66,9.89,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.66,9.89,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.22,-0.66,9.91,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.23,-0.67,9.92,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.23,-0.67,9.92,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.63,9.87,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.64,9.89,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.64,9.91,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.64,9.91,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.23,-0.66,9.93,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.22,-0.64,9.89,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.22,-0.64,9.89,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.21,-0.65,9.91,3.5625,-1.25,185.9375
acceleration.x,acceleration.y,acceleration.z,roll,pitch,yaw
-0.23,-0.66,9.93,3.5625,-1.25,185.9375
